manuscript_section,claim_text,reported_value,source_output,verified_value,status,notes
Methods,"This study included 84 sites distributed across six continents within the DarkDivNet framework (Europe 54, Asia 14, North America 8, Africa 1, South America 4, and Oceania 3; Fig.",54,,,not_found,
Methods,"This study included 84 sites distributed across six continents within the DarkDivNet framework (Europe 54, Asia 14, North America 8, Africa 1, South America 4, and Oceania 3; Fig.",14,results/phase5_bac_integration/checkpoints/combo_14.csv#row0:combo_index,14.0,verified,
Methods,"This study included 84 sites distributed across six continents within the DarkDivNet framework (Europe 54, Asia 14, North America 8, Africa 1, South America 4, and Oceania 3; Fig.",8,results/phase5_bac_integration/checkpoints/combo_8.csv#row0:combo_index,8.0,verified,
Methods,"This study included 84 sites distributed across six continents within the DarkDivNet framework (Europe 54, Asia 14, North America 8, Africa 1, South America 4, and Oceania 3; Fig.",1,results/phase4_coupling_inference/phase4_summary.csv#row0:rank_mantel,1.0,verified,
Methods,"This study included 84 sites distributed across six continents within the DarkDivNet framework (Europe 54, Asia 14, North America 8, Africa 1, South America 4, and Oceania 3; Fig.",4,results/phase4_coupling_inference/phase4_summary.csv#row0:rank_procrustes_similarity,4.0,verified,
Methods,"This study included 84 sites distributed across six continents within the DarkDivNet framework (Europe 54, Asia 14, North America 8, Africa 1, South America 4, and Oceania 3; Fig.",3,results/phase4_coupling_inference/phase4_summary.csv#row1:rank_mantel,3.0,verified,
Methods,1).,1,results/phase4_coupling_inference/phase4_summary.csv#row0:rank_mantel,1.0,verified,
Methods,"In that framework, each site corresponds to a 100 m² (10 × 10 m) vegetation plot embedded within a study region of approximately 300 km², defined as a circle of 20 km diameter subject to coastline and access constraints.",100,,,not_found,
Methods,"In that framework, each site corresponds to a 100 m² (10 × 10 m) vegetation plot embedded within a study region of approximately 300 km², defined as a circle of 20 km diameter subject to coastline and access constraints.",10,results/phase5_bac_integration/checkpoints/combo_10.csv#row0:combo_index,10.0,verified,
Methods,"In that framework, each site corresponds to a 100 m² (10 × 10 m) vegetation plot embedded within a study region of approximately 300 km², defined as a circle of 20 km diameter subject to coastline and access constraints.",300,,,not_found,
Methods,"In that framework, each site corresponds to a 100 m² (10 × 10 m) vegetation plot embedded within a study region of approximately 300 km², defined as a circle of 20 km diameter subject to coastline and access constraints.",20,results/phase5_bac_integration/checkpoints/combo_20.csv#row0:combo_index,20.0,verified,
Methods,"Dark diversity was estimated from species co-occurrence patterns within each region using 30 similar vegetation plots and dark-diversity probabilities for species absent from the focal site but present regionally (Riibak et al., 2024) (Szoszkiewicz et al., 2021).",30,,,not_found,
Methods,"For cross-layer comparability, subsequent environmental-driver and plant-diversity analyses were restricted to the four pairings retained in Phases 5B–5D (BAC↔ITS, EUK↔ITS, AMF↔ITS, AMF↔EUK), and integrated synthesis used this common subset across all analytical phases (Kermavnar et al., 2021) (Senior et al., 2018).  ### 2.2 Sequencing and bioinformatics Laboratory sequencing and initial bioinformatics processing protocols are documented in the underlying project workflow and related DarkDivNet resources and are not repeated here.",2.2,,,not_found,
Methods,"The present Methods focus on downstream ecological and statistical analyses applied to the completed community matrices.  ### 2.3 Community representations and prevalence filtering To evaluate cross-domain correspondence under complementary assumptions about community structure, each domain pair was analyzed in two representations: presence/absence and centered log-ratio (CLR) transformed abundance space.",2.3,,,not_found,
Methods,"CLR analyses used a pseudocount of 1×10⁻⁶, CLR transformation, Euclidean distance, and principal component analysis (PCA) projected onto 10 ordination axes for cross-domain comparison.",1,results/phase4_coupling_inference/phase4_summary.csv#row0:rank_mantel,1.0,verified,
Methods,"CLR analyses used a pseudocount of 1×10⁻⁶, CLR transformation, Euclidean distance, and principal component analysis (PCA) projected onto 10 ordination axes for cross-domain comparison.",10,results/phase5_bac_integration/checkpoints/combo_10.csv#row0:combo_index,10.0,verified,
Methods,"Specifically, taxa with non-zero occurrence in fewer than 5% or 10% of samples were removed, corresponding to prevalence thresholds of 0.05 and 0.10.",5%,results/phase2_confirmatory_coupling/phase2_coupling_summary.csv#row0:threshold,0.05,verified,
Methods,"Specifically, taxa with non-zero occurrence in fewer than 5% or 10% of samples were removed, corresponding to prevalence thresholds of 0.05 and 0.10.",10%,results/phase2_confirmatory_coupling/phase2_coupling_summary.csv#row6:threshold,0.1,verified,
Methods,"Specifically, taxa with non-zero occurrence in fewer than 5% or 10% of samples were removed, corresponding to prevalence thresholds of 0.05 and 0.10.",0.05,results/phase2_confirmatory_coupling/phase2_coupling_summary.csv#row0:threshold,0.05,verified,
Methods,"Specifically, taxa with non-zero occurrence in fewer than 5% or 10% of samples were removed, corresponding to prevalence thresholds of 0.05 and 0.10.",0.10,results/phase2_confirmatory_coupling/phase2_coupling_summary.csv#row6:threshold,0.1,verified,
Methods,"These dual thresholds were carried through coupling analyses to test whether inferred cross-domain structure depended on retention of low-prevalence taxa.  ### 2.4 Cross-domain coupling analyses Cross-domain coupling was quantified using two complementary statistics: Mantel Spearman correlation for concordance among inter-sample distance matrices and Procrustes analysis for geometric alignment between paired ordination configurations (Faquim et al., 2021).",2.4,,,not_found,
Methods,"Mantel inference used 999 permutations, and Procrustes uncertainty was summarized from 120 bootstrap replicates with percentile intervals (2.5th and 97.5th percentiles) (Cui et al., 2017) (Charria-Girón et al., 2026).",999,,,not_found,
Methods,"Mantel inference used 999 permutations, and Procrustes uncertainty was summarized from 120 bootstrap replicates with percentile intervals (2.5th and 97.5th percentiles) (Cui et al., 2017) (Charria-Girón et al., 2026).",120,results/phase4_coupling_inference/phase4_mantel_inference.csv#row0:n_bootstraps,120.0,verified,
Methods,"Mantel inference used 999 permutations, and Procrustes uncertainty was summarized from 120 bootstrap replicates with percentile intervals (2.5th and 97.5th percentiles) (Cui et al., 2017) (Charria-Girón et al., 2026).",2,results/phase4_coupling_inference/phase4_summary.csv#row0:thresholds_evaluated,2.0,verified,
Methods,"Mantel inference used 999 permutations, and Procrustes uncertainty was summarized from 120 bootstrap replicates with percentile intervals (2.5th and 97.5th percentiles) (Cui et al., 2017) (Charria-Girón et al., 2026).",97,,,not_found,
Methods,"The integrated score was used within a descriptive integration framework rather than as a formal inferential statistic.  ### 2.5 Environmental-driver analyses Environmental predictor selection was hypothesis-driven and focused on variables expected to influence microbial assembly across domains, including soil pH (pH_KCl), soil nitrogen content (N_pct), and annual precipitation (bio12) (Marasco et al., 2018) (Yan et al., 2025).",2.5,results/phase4_coupling_inference/phase4_summary.csv#row0:rank_overall,2.5,verified,
Methods,"The integrated score was used within a descriptive integration framework rather than as a formal inferential statistic.  ### 2.5 Environmental-driver analyses Environmental predictor selection was hypothesis-driven and focused on variables expected to influence microbial assembly across domains, including soil pH (pH_KCl), soil nitrogen content (N_pct), and annual precipitation (bio12) (Marasco et al., 2018) (Yan et al., 2025).",2,results/phase4_coupling_inference/phase4_summary.csv#row0:thresholds_evaluated,2.0,verified,
Methods,"Distance-based redundancy analysis (dbRDA) was fitted for each pair×representation combination at the default prevalence threshold of 0.05 with 999 permutations (Shankar et al., 2017) (Mo et al., 2018).",0.05,results/phase2_confirmatory_coupling/phase2_coupling_summary.csv#row0:threshold,0.05,verified,
Methods,"Distance-based redundancy analysis (dbRDA) was fitted for each pair×representation combination at the default prevalence threshold of 0.05 with 999 permutations (Shankar et al., 2017) (Mo et al., 2018).",999,,,not_found,
Methods,"Predictor influence was quantified using leave-one-predictor reductions (ΔR² and Δ adjusted R²), and model adequacy across predictor sets was compared using adjusted R².  ### 2.6 Plant-diversity hypothesis testing To evaluate whether plant diversity explained variation in microbial coupling beyond abiotic conditions, we compared seven a priori candidate models (A–G) against an abiotic baseline model (Schrader et al., 2019) (Kermavnar et al., 2021).",2.6,,,not_found,
Methods,"Plant-diversity comparisons used CLR-transformed inputs (pseudocount 1×10⁻⁶), 10 ordination axes, the default prevalence threshold (0.05), and 999 permutations (Eisenhauer et al., 2017) (Savary et al., 2017).",1,results/phase4_coupling_inference/phase4_summary.csv#row0:rank_mantel,1.0,verified,
Methods,"Plant-diversity comparisons used CLR-transformed inputs (pseudocount 1×10⁻⁶), 10 ordination axes, the default prevalence threshold (0.05), and 999 permutations (Eisenhauer et al., 2017) (Savary et al., 2017).",10,results/phase5_bac_integration/checkpoints/combo_10.csv#row0:combo_index,10.0,verified,
Methods,"Plant-diversity comparisons used CLR-transformed inputs (pseudocount 1×10⁻⁶), 10 ordination axes, the default prevalence threshold (0.05), and 999 permutations (Eisenhauer et al., 2017) (Savary et al., 2017).",0.05,results/phase2_confirmatory_coupling/phase2_coupling_summary.csv#row3:threshold,0.05,verified,
Methods,"Plant-diversity comparisons used CLR-transformed inputs (pseudocount 1×10⁻⁶), 10 ordination axes, the default prevalence threshold (0.05), and 999 permutations (Eisenhauer et al., 2017) (Savary et al., 2017).",999,,,not_found,
Methods,"Incremental support for each hypothesis was quantified as Δ adjusted R² relative to the abiotic baseline.  ### 2.7 Integrated synthesis To compare ecological signal layers across pair×representation combinations, we integrated three outputs: (i) coupling magnitude from Mantel-Procrustes summaries, (ii) environmental explained variation from best-performing dbRDA formulations, and (iii) added plant-diversity variation from best non-baseline plant models (Baird et al., 2019) (Kermavnar et al., 2021).",2.7,,,not_found,
Methods,"For consistent interpretation across pairings, summaries were evaluated using descriptive thresholds (coupling strength ≥0.50, environmental adjusted R² ≥0.20, and plant-diversity Δ adjusted R² ≥0.01; low-plant criterion <0.005) (Yang et al., 2025) (Zheng et al., 2025).",0.50,results/phase4_coupling_inference/phase4_mantel_inference.csv#row5:mantel_bootstrap_median,0.503668,verified,
Methods,"For consistent interpretation across pairings, summaries were evaluated using descriptive thresholds (coupling strength ≥0.50, environmental adjusted R² ≥0.20, and plant-diversity Δ adjusted R² ≥0.01; low-plant criterion <0.005) (Yang et al., 2025) (Zheng et al., 2025).",0.20,results/phase5_bac_integration/checkpoints/combo_8.csv#row0:mantel_spearman,0.201404,verified,
Methods,"For consistent interpretation across pairings, summaries were evaluated using descriptive thresholds (coupling strength ≥0.50, environmental adjusted R² ≥0.20, and plant-diversity Δ adjusted R² ≥0.01; low-plant criterion <0.005) (Yang et al., 2025) (Zheng et al., 2025).",0.01,results/phase5b_environmental_drivers/checkpoints/combo_0.csv#row3:delta_adj_r2,0.00922644,verified,
Methods,"For consistent interpretation across pairings, summaries were evaluated using descriptive thresholds (coupling strength ≥0.50, environmental adjusted R² ≥0.20, and plant-diversity Δ adjusted R² ≥0.01; low-plant criterion <0.005) (Yang et al., 2025) (Zheng et al., 2025).",0.005,results/phase5b_environmental_drivers/checkpoints/combo_0.csv#row5:delta_r2,0.00495603,verified,
Methods,"These thresholds were used as interpretive guides for comparative synthesis and not as replacements for permutation-based inference.  ### 2.8 Statistical analyses All inferences in this manuscript were derived from completed analysis outputs, and no analyses were rerun during manuscript preparation.",2.8,,,not_found,
Methods,Permutation-based inference used 999 permutations.,999,,,not_found,
Methods,"Procrustes uncertainty was estimated by bootstrap resampling (120 replicates), and uncertainty intervals were summarized with percentile limits (2.5th–97.5th) (Cui et al., 2017) (Charria-Girón et al., 2026).",120,results/phase4_coupling_inference/phase4_mantel_inference.csv#row0:n_bootstraps,120.0,verified,
Methods,"Procrustes uncertainty was estimated by bootstrap resampling (120 replicates), and uncertainty intervals were summarized with percentile limits (2.5th–97.5th) (Cui et al., 2017) (Charria-Girón et al., 2026).",2,results/phase4_coupling_inference/phase4_summary.csv#row0:thresholds_evaluated,2.0,verified,
Methods,"Procrustes uncertainty was estimated by bootstrap resampling (120 replicates), and uncertainty intervals were summarized with percentile limits (2.5th–97.5th) (Cui et al., 2017) (Charria-Girón et al., 2026).",97,,,not_found,
Results,"Figure 1 defines the matched cohort (n = 84), and Figures 2–5 present a connected results sequence from cross-domain coupling to environmental structure, plant-diversity effects, and final synthesis.  ### 3.1 Cross-domain coupling patterns Cross-domain coupling was strongest for BAC↔ITS, especially in presence/absence space (coupling strength 0.574; Fig.",1,results/phase5_bac_integration/phase5_bac_coupling_summary.csv#row0:rank_mantel,1.0,verified,
Results,"Figure 1 defines the matched cohort (n = 84), and Figures 2–5 present a connected results sequence from cross-domain coupling to environmental structure, plant-diversity effects, and final synthesis.  ### 3.1 Cross-domain coupling patterns Cross-domain coupling was strongest for BAC↔ITS, especially in presence/absence space (coupling strength 0.574; Fig.",84,results/phase5_bac_integration/checkpoints/combo_4.csv#row0:n_samples,84.0,verified,
Results,"Figure 1 defines the matched cohort (n = 84), and Figures 2–5 present a connected results sequence from cross-domain coupling to environmental structure, plant-diversity effects, and final synthesis.  ### 3.1 Cross-domain coupling patterns Cross-domain coupling was strongest for BAC↔ITS, especially in presence/absence space (coupling strength 0.574; Fig.",2,results/phase5_bac_integration/phase5_bac_coupling_summary.csv#row0:thresholds_evaluated,2.0,verified,
Results,"Figure 1 defines the matched cohort (n = 84), and Figures 2–5 present a connected results sequence from cross-domain coupling to environmental structure, plant-diversity effects, and final synthesis.  ### 3.1 Cross-domain coupling patterns Cross-domain coupling was strongest for BAC↔ITS, especially in presence/absence space (coupling strength 0.574; Fig.",5,results/phase5_bac_integration/checkpoints/combo_5.csv#row0:combo_index,5.0,verified,
Results,"Figure 1 defines the matched cohort (n = 84), and Figures 2–5 present a connected results sequence from cross-domain coupling to environmental structure, plant-diversity effects, and final synthesis.  ### 3.1 Cross-domain coupling patterns Cross-domain coupling was strongest for BAC↔ITS, especially in presence/absence space (coupling strength 0.574; Fig.",3.1,,,not_found,No direct numeric match found in indexed phase outputs.
Results,"Figure 1 defines the matched cohort (n = 84), and Figures 2–5 present a connected results sequence from cross-domain coupling to environmental structure, plant-diversity effects, and final synthesis.  ### 3.1 Cross-domain coupling patterns Cross-domain coupling was strongest for BAC↔ITS, especially in presence/absence space (coupling strength 0.574; Fig.",0.574,results/phase5d_synthesis/final_coupling_rankings.csv#row0:coupling_strength,0.574077,verified,
Results,2).,2,results/phase4_coupling_inference/phase4_summary.csv#row0:thresholds_evaluated,2.0,verified,
Results,"EUK↔ITS remained close behind across both representations (0.538 and 0.535), and total coupling values spanned 0.319–0.574 across 12 pair×representation combinations, indicating broad but uneven synchrony among domains.",0.538,results/phase2_confirmatory_coupling/snapshot1.csv#row6:procrustes_fit,0.537718,verified,
Results,"EUK↔ITS remained close behind across both representations (0.538 and 0.535), and total coupling values spanned 0.319–0.574 across 12 pair×representation combinations, indicating broad but uneven synchrony among domains.",0.535,results/phase5d_synthesis/final_coupling_rankings.csv#row2:coupling_strength,0.535212,verified,
Results,"EUK↔ITS remained close behind across both representations (0.538 and 0.535), and total coupling values spanned 0.319–0.574 across 12 pair×representation combinations, indicating broad but uneven synchrony among domains.",0.319,results/phase5_bac_integration/checkpoints/combo_11.csv#row0:procrustes_bootstrap_median,0.319446,needs_human_review,Numeric match found but pair label not clearly matched in source row.
Results,"EUK↔ITS remained close behind across both representations (0.538 and 0.535), and total coupling values spanned 0.319–0.574 across 12 pair×representation combinations, indicating broad but uneven synchrony among domains.",0.574,results/phase5d_synthesis/final_coupling_rankings.csv#row0:coupling_strength,0.574077,needs_human_review,Numeric match found but pair label not clearly matched in source row.
Results,"EUK↔ITS remained close behind across both representations (0.538 and 0.535), and total coupling values spanned 0.319–0.574 across 12 pair×representation combinations, indicating broad but uneven synchrony among domains.",12,results/phase5_bac_integration/checkpoints/combo_12.csv#row0:combo_index,12.0,needs_human_review,Numeric match found but pair label not clearly matched in source row.
Results,"BAC↔ITS showed the strongest distance-matrix concordance (Mantel ρ = 0.584, p = 0.001), whereas EUK↔ITS in CLR showed the highest geometric alignment (Procrustes similarity = 0.683).",0.584,results/phase5_bac_integration/checkpoints/combo_5.csv#row0:mantel_bootstrap_median,0.583619,needs_human_review,Numeric match found but representation label not clearly matched in source row.
Results,"BAC↔ITS showed the strongest distance-matrix concordance (Mantel ρ = 0.584, p = 0.001), whereas EUK↔ITS in CLR showed the highest geometric alignment (Procrustes similarity = 0.683).",0.001,results/phase5c_plant_diversity/checkpoints/combo_7.csv#row9:delta_adjusted_r2_vs_base,0.000768027,needs_human_review,p-value sentence but no p-like column match found.
Results,"BAC↔ITS showed the strongest distance-matrix concordance (Mantel ρ = 0.584, p = 0.001), whereas EUK↔ITS in CLR showed the highest geometric alignment (Procrustes similarity = 0.683).",0.683,results/phase4_coupling_inference/phase4_summary.csv#row4:procrustes_similarity_mean,0.683264,needs_human_review,Numeric match found but pair label not clearly matched in source row.
Results,This dominant BAC↔ITS signal was stable across prevalence thresholds (Mantel ρ = 0.597 at 0.05; 0.571 at 0.10).,0.597,results/phase5_bac_integration/checkpoints/combo_4.csv#row0:mantel_spearman,0.597252,verified,
Results,This dominant BAC↔ITS signal was stable across prevalence thresholds (Mantel ρ = 0.597 at 0.05; 0.571 at 0.10).,0.05,results/phase5_bac_integration/checkpoints/combo_4.csv#row0:threshold,0.05,verified,
Results,This dominant BAC↔ITS signal was stable across prevalence thresholds (Mantel ρ = 0.597 at 0.05; 0.571 at 0.10).,0.571,results/phase5_bac_integration/checkpoints/combo_5.csv#row0:mantel_spearman,0.571163,verified,
Results,This dominant BAC↔ITS signal was stable across prevalence thresholds (Mantel ρ = 0.597 at 0.05; 0.571 at 0.10).,0.10,results/phase5_bac_integration/checkpoints/combo_5.csv#row0:threshold,0.1,verified,
Results,"BAC↔EUK presence/absence remained comparatively weak and declined at the more conservative cutoff (ρ = 0.143, p = 0.018).  ### 3.2 Environmental structure of coupled turnover Coupling analyses evaluated six pairwise combinations, but environmental synthesis focused on the four pairs retained in Phases 5B–5D (BAC↔ITS, EUK↔ITS, AMF↔ITS, AMF↔EUK; Fig.",0.143,results/phase5c_plant_diversity/checkpoints/combo_0.csv#row15:delta_adj_r2,0.142801,verified,
Results,"BAC↔EUK presence/absence remained comparatively weak and declined at the more conservative cutoff (ρ = 0.143, p = 0.018).  ### 3.2 Environmental structure of coupled turnover Coupling analyses evaluated six pairwise combinations, but environmental synthesis focused on the four pairs retained in Phases 5B–5D (BAC↔ITS, EUK↔ITS, AMF↔ITS, AMF↔EUK; Fig.",0.018,results/phase5_bac_integration/checkpoints/combo_9.csv#row0:mantel_perm_pvalue,0.018,verified,
Results,"BAC↔EUK presence/absence remained comparatively weak and declined at the more conservative cutoff (ρ = 0.143, p = 0.018).  ### 3.2 Environmental structure of coupled turnover Coupling analyses evaluated six pairwise combinations, but environmental synthesis focused on the four pairs retained in Phases 5B–5D (BAC↔ITS, EUK↔ITS, AMF↔ITS, AMF↔EUK; Fig.",3.2,,,not_found,No direct numeric match found in indexed phase outputs.
Results,"3) to maintain direct comparability across environmental, plant-diversity, and integrated layers.",3,results/phase4_coupling_inference/phase4_summary.csv#row1:rank_mantel,3.0,verified,
Results,"BAC↔ITS again showed the most pronounced environmental structuring (dbRDA adjusted R² = 0.278 in CLR; 0.265 in presence/absence), and explained variation across integrated pairings ranged from 0.188 to 0.278 (mean 0.223).",0.278,results/phase5b_environmental_drivers/checkpoints/combo_1.csv#row6:adjusted_r2,0.277664,needs_human_review,Numeric match found but representation label not clearly matched in source row.
Results,"BAC↔ITS again showed the most pronounced environmental structuring (dbRDA adjusted R² = 0.278 in CLR; 0.265 in presence/absence), and explained variation across integrated pairings ranged from 0.188 to 0.278 (mean 0.223).",0.265,results/phase5b_environmental_drivers/checkpoints/combo_0.csv#row2:reduced_r2,0.26508,verified,
Results,"BAC↔ITS again showed the most pronounced environmental structuring (dbRDA adjusted R² = 0.278 in CLR; 0.265 in presence/absence), and explained variation across integrated pairings ranged from 0.188 to 0.278 (mean 0.223).",0.188,results/phase5b_environmental_drivers/checkpoints/combo_6.csv#row4:reduced_adj_r2,0.187985,needs_human_review,Numeric match found but pair label not clearly matched in source row.
Results,"BAC↔ITS again showed the most pronounced environmental structuring (dbRDA adjusted R² = 0.278 in CLR; 0.265 in presence/absence), and explained variation across integrated pairings ranged from 0.188 to 0.278 (mean 0.223).",0.223,results/phase5c_plant_diversity/checkpoints/combo_4.csv#row0:r2,0.223281,needs_human_review,Numeric match found but pair label not clearly matched in source row.
Results,"Environmental effects were coherent across pairings: geography-sensitive models were selected in all integrated cases, pH_KCl was the top predictor throughout, geography sensitivity was consistently positive (Δadjusted R² = 0.008–0.022), and pH contributions remained substantial (0.092–0.151).",0.008,results/phase5b_environmental_drivers/checkpoints/combo_0.csv#row4:delta_adj_r2,0.00835205,verified,
Results,"Environmental effects were coherent across pairings: geography-sensitive models were selected in all integrated cases, pH_KCl was the top predictor throughout, geography sensitivity was consistently positive (Δadjusted R² = 0.008–0.022), and pH contributions remained substantial (0.092–0.151).",0.022,results/phase5b_environmental_drivers/checkpoints/combo_0.csv#row8:delta_adj_r2,0.022166,verified,
Results,"Environmental effects were coherent across pairings: geography-sensitive models were selected in all integrated cases, pH_KCl was the top predictor throughout, geography sensitivity was consistently positive (Δadjusted R² = 0.008–0.022), and pH contributions remained substantial (0.092–0.151).",0.092,results/phase5_bac_integration/checkpoints/combo_10.csv#row0:mantel_bootstrap_sd,0.0917933,verified,
Results,"Environmental effects were coherent across pairings: geography-sensitive models were selected in all integrated cases, pH_KCl was the top predictor throughout, geography sensitivity was consistently positive (Δadjusted R² = 0.008–0.022), and pH contributions remained substantial (0.092–0.151).",0.151,results/phase5b_environmental_drivers/checkpoints/combo_1.csv#row7:delta_adj_r2,0.150995,verified,
Results,"Model-level permutation tests were significant across pair×representation combinations (p = 0.001).  ### 3.3 Plant-diversity contrasts across pairings Plant-diversity effects were modest but consistently positive overall, with the largest gains concentrated in AMF-linked relationships (Fig.",0.001,results/phase5c_plant_diversity/checkpoints/combo_4.csv#row84:delta_adj_r2,0.00131926,needs_human_review,p-value sentence but no p-like column match found.
Results,"Model-level permutation tests were significant across pair×representation combinations (p = 0.001).  ### 3.3 Plant-diversity contrasts across pairings Plant-diversity effects were modest but consistently positive overall, with the largest gains concentrated in AMF-linked relationships (Fig.",3.3,,,not_found,No direct numeric match found in indexed phase outputs.
Results,4).,4,results/phase4_coupling_inference/phase4_summary.csv#row0:rank_procrustes_similarity,4.0,verified,
Results,"At the pair level, AMF-linked combinations had the largest plant-diversity increments (about 0.017–0.019 in presence/absence), whereas BAC↔ITS remained smaller (0.009 in presence/absence; 0.007 in CLR).",0.017,results/phase5b_environmental_drivers/checkpoints/combo_0.csv#row4:delta_r2,0.0170595,verified,
Results,"At the pair level, AMF-linked combinations had the largest plant-diversity increments (about 0.017–0.019 in presence/absence), whereas BAC↔ITS remained smaller (0.009 in presence/absence; 0.007 in CLR).",0.019,results/phase5c_plant_diversity/checkpoints/combo_0.csv#row7:delta_r2,0.0189682,verified,
Results,"At the pair level, AMF-linked combinations had the largest plant-diversity increments (about 0.017–0.019 in presence/absence), whereas BAC↔ITS remained smaller (0.009 in presence/absence; 0.007 in CLR).",0.009,results/phase5b_environmental_drivers/checkpoints/combo_0.csv#row3:delta_adj_r2,0.00922644,verified,
Results,"At the pair level, AMF-linked combinations had the largest plant-diversity increments (about 0.017–0.019 in presence/absence), whereas BAC↔ITS remained smaller (0.009 in presence/absence; 0.007 in CLR).",0.007,results/phase5c_plant_diversity/checkpoints/combo_0.csv#row14:delta_adjusted_r2_vs_base,0.00745461,verified,
Results,"4).  ### 3.4 Integrated pattern across analytical layers Taken together, Figures 2–5 resolve a consistent cross-layer ecological contrast.",4,results/phase4_coupling_inference/phase4_summary.csv#row0:rank_procrustes_similarity,4.0,verified,
Results,"4).  ### 3.4 Integrated pattern across analytical layers Taken together, Figures 2–5 resolve a consistent cross-layer ecological contrast.",3.4,,,not_found,No direct numeric match found in indexed phase outputs.
Results,"4).  ### 3.4 Integrated pattern across analytical layers Taken together, Figures 2–5 resolve a consistent cross-layer ecological contrast.",2,results/phase4_coupling_inference/phase4_summary.csv#row0:thresholds_evaluated,2.0,verified,
Results,"4).  ### 3.4 Integrated pattern across analytical layers Taken together, Figures 2–5 resolve a consistent cross-layer ecological contrast.",5,results/phase4_coupling_inference/phase4_summary.csv#row2:rank_procrustes_similarity,5.0,verified,
Discussion,"### Cross-domain structure is strong but uneven Across Figures 1–5, the central ecological signal is not simply that communities are coupled, but that coupling strength is strongly domain-pair dependent.",1,results/phase4_coupling_inference/phase4_summary.csv#row0:rank_mantel,1.0,verified,
Discussion,"### Cross-domain structure is strong but uneven Across Figures 1–5, the central ecological signal is not simply that communities are coupled, but that coupling strength is strongly domain-pair dependent.",5,results/phase4_coupling_inference/phase4_summary.csv#row2:rank_procrustes_similarity,5.0,verified,
